listing_id,city,neighborhood,room_type,property_type,bedrooms,bathrooms,accommodates,review_score,number_of_reviews,host_response_rate,availability_365,cancellation_policy,amenities_count,latitude,longitude,price
1,Seattle,Downtown,Private room,Villa,1,1,1,4.31,401,97,314,Flexible,10,-45.143321,-75.101621,274.75
2,Chicago,City Center,Private room,Apartment,1,3,6,3.08,21,67,296,Moderate,7,-28.464192,116.185135,368.79
3,Boston,Harbor Area,Shared room,Townhouse,1,1,6,4.26,65,90,111,Moderate,7,-59.71312,-17.493239,416.95
4,Miami,Suburb,Private room,Condo,4,1,3,3.27,20,97,229,Moderate,10,14.69724,0.521071,473.79
5,Seattle,Uptown,Private room,Apartment,5,2,8,3.11,99,94,95,Strict,7,85.581094,7.498343,436.33
6,Atlanta,Suburb,Shared room,Villa,3,1,1,2.68,383,91,167,Moderate,5,47.06259,-18.587903,182.29
7,San Francisco,Suburb,Hotel room,Condo,2,1,1,4.36,299,74,155,Flexible,2,-13.790385,-87.808167,452.53
8,Seattle,Suburb,Entire home/apt,Condo,4,2,6,4.28,102,63,104,Moderate,9,-89.189193,-136.677442,417.15
9,Boston,Harbor Area,Hotel room,Apartment,3,3,1,3.09,46,93,192,Moderate,3,-33.610318,-144.526584,348.99
10,Miami,Suburb,Shared room,Villa,5,1,6,4.37,38,74,329,Strict,3,4.816672,92.686508,616.69
11,Chicago,Beachside,Entire home/apt,Loft,1,2,1,4.79,284,68,131,Flexible,9,-31.634843,-99.529984,256.46
12,Boston,Harbor Area,Shared room,Villa,5,1,6,2.77,309,88,354,Strict,7,-70.013714,-159.957787,394.61
13,Boston,Beachside,Shared room,House,2,2,3,3.08,89,64,137,Strict,3,-10.302308,107.106266,342.96
14,San Francisco,Harbor Area,Private room,Townhouse,4,3,8,4.38,84,65,330,Flexible,4,-44.414493,-124.537805,599.27
15,Austin,City Center,Entire home/apt,Cottage,4,3,6,3.19,272,76,269,Strict,9,73.661828,45.052593,457.93
16,Miami,Midtown,Private room,Loft,2,2,1,4.06,335,89,37,Flexible,6,-71.684185,-58.088422,344.25
17,Los Angeles,Downtown,Entire home/apt,Condo,3,2,5,2.7,187,59,44,Moderate,7,-81.152527,-134.467108,354.39
18,Boston,Suburb,Shared room,Loft,3,2,8,3.63,158,53,162,Flexible,8,-89.04345,-30.786847,474.62
19,Austin,City Center,Shared room,Townhouse,4,3,3,4.35,242,68,330,Flexible,5,-30.947457,-174.66881,409.45
20,Los Angeles,Midtown,Hotel room,Condo,4,1,6,4.22,72,77,252,Flexible,5,28.869631,122.776194,485.2
21,Miami,Downtown,Entire home/apt,Townhouse,1,3,5,4.54,478,70,168,Strict,4,41.474476,4.859266,469.08
22,New York,Old Town,Private room,Condo,3,2,6,4.69,461,96,284,Flexible,3,-8.412897,-129.902396,544.51
23,Atlanta,Uptown,Hotel room,Loft,2,2,1,4.43,48,63,273,Flexible,8,33.179157,-94.687085,224.2
24,Austin,Beachside,Hotel room,Condo,3,3,7,4.18,100,82,19,Flexible,6,-25.215473,-18.728931,465.23
25,Denver,Old Town,Hotel room,Condo,1,2,9,2.58,1,97,238,Moderate,2,30.20512,-112.007022,276.4
26,New York,Harbor Area,Private room,House,4,3,2,3.84,243,59,269,Flexible,8,-82.692723,-83.304302,467.13
27,Atlanta,Downtown,Hotel room,Villa,4,2,5,2.59,175,68,309,Strict,5,-19.664463,12.378803,290.84
28,San Francisco,Old Town,Private room,Villa,1,1,4,4.52,237,79,30,Flexible,5,52.352942,119.739245,355.92
29,Seattle,Uptown,Hotel room,Cottage,2,1,6,3.3,397,71,313,Flexible,4,54.541085,-35.337713,363.63
30,Chicago,City Center,Private room,Cottage,4,2,6,3.91,58,52,103,Moderate,8,38.90678,78.111098,398.92
31,Denver,Downtown,Shared room,House,5,3,2,3.2,352,86,169,Flexible,8,-53.237048,135.606317,367.24
